Filename,English,Kashaya,Categories
dog-tail-wag-caus,the dog is wagging its tail,hayu ʔem hiba· ʔel pʰiʔlíʔlihqaw,statement
dog-tan,brown or tan dog,hayu qʰálaʔ,phrase
dont-dance,don't dance!,qʼoʔo manetʰúʔ,command
door-close-imp,close the door!,hóhwa šuʔpʼaní,command
door-close-imp,close the door!,hóhwa šuʔpʼani,command
door-open-imp,open the door!,hóhwa šuhṭʰa,command
door-toward-go-out-imp,walk to the door!,hóhwa tolhqʰaʔ waqa,command
eat-food-pl,eat food (several),maʔa búmuyiʔ,eating
eat-imp,eat! (short version),maʔá,eating; command
eat-pl,eat! (to several),bumuyíc’meʔ,eating; command
eat-some-food,eat some food!,maʔa búmuci·du,eating; command
eat-some-food-pl,eat some food! (to several),maʔa búmuyic’meʔ,eating; command
everyone-say-it-again,everyone say it again!,ṭ’ihca pʰala míyic’meʔ,teaching; command; speaking
exchange-sides-imp-pl,everyone change sides!,qowálmucʼmeʔ,command
eye-open-up-imp,open your eyes!,huʔú· piṭiši·bici,command
face-around-imp,turn around!,qʰácʰmuli·cʼi,command
fast-like-do-imp,do it fast!,šahya mín cicʼi·du,command
feed-him,feed (him or her)!,maʔa bílaqʰa·ma,eating; command
find-vis-i,I found it,daʔtʼayé· ʔa,statement
finish-i-word,I'm finished speaking,duʔkʼuyé· ʔa cahno,statement
fire-build-imp,build a fire!,ʔoho báma,command
fire-burn-fact,the fire is burning,ʔoho má·cʰ,statement
food-give-neg-q,"he was given food, right?",maʔa díhqatʰe hni ˇ,question
food-give-vis,gave food (to someone),maʔa díhqay,statement
from-outside,from outside,ʔuhwa· tów,location
gas-pour-down-caus-imp,put gas in!,ʔihpʰú· ṭʼaya·lahqa,command
get-well-imp,get well!,qašo·qo,command
give-bunch-imp,give (a bunch)!,biʔdaqá,command
give-one-imp,give (one thing)!,dihqa,command
go-away-pl-already,"they've already gone away, left",ʔúl pʰilaʔ,statement
go-away-pl-hsy,"they've gone away, left (they say)",pʰiláʔdo,statement
go-away-pl-vis,"they've gone away, left (I saw it)",pʰilayh,statement
go-away-pl-vis-already,"they've already gone away, left (I saw it)",ʔúl pʰilayh,statement
go-down-imp,go down!,walá,command
go-down-pl-imp,go down! (to several),pʰilalá·meʔ,command
go-far-pl-vis-already,they've already gone far away (I saw it),ʔúl pʰila·cʼi·y,statement
go-in,go in!,mací,going in and out; command
go-in-out,go in and out,maci·dun woqó·cʼedu,phrase
go-in-pl,go in! (to several),pʰimácʰmeʔ,going in and out; command
go-in-there-imp,go in there!,mi· mací,going in and out; command
go-in-there-pl-imp,go in there! (to several),mi· pʰimác’meʔ,going in and out; command
go-out-imp,go out!,waqá,command
go-outside,go outside!,ʔuhwa· waqá,going in and out; command
good-and-you,"good, and you?","q’oʔdi, ma ṭ’o",greeting; question
good-appear,it looks good,qʼoʔdi pʰíʔtʼaw,statement
good-inspect-dur,inspect carefully,qʼoʔdi pʰímita·du,phrase
hair-cut-projecting,"cut off, trim hair",heʔe díʔkʼolʔ,phrase
hair-tie-up-refl-imp,tie up your hair!,heʔe pʰánama·cʼi,command
he-almost-died,he almost died,cʰoyíʔti ʔduwe· mu,statement
he-can-run-faster-than-she,he can run faster than she can,ma·dal ʔana· šahya mó·duʔbe· mu·kinʔ,statement
he-cop-it,it was him (who did it),mu·kin é· mu,statement
he-cop-me-very-know,he knows more than I do,mu·kin é· to ʔaná· du·ciʔ,statement
he-saw-her-past,he saw her,cadú ʔyowe· ma·dal mu·kinʔ,statement
he-saw-her-past-2,he saw her (2),mu·kinʔ ma·dal cadú ʔyow,statement
he-saw-him-past,he saw him,cadú ʔyowe· mu·kinʔ mu·kito,statement
he-saw-him-past-2,he saw him (2),mu·kito mu·kinʔ cadú ʔyow,statement
he-saw-him-past-3,he saw him (3),mu·kinʔ cadú ʔyowe· mu·kito,statement
he-saw-him-past-4,he saw him (4),cadú ʔyowe· mu·kito mu·kinʔ,statement
he-saw-me-past,he saw me,cadú ʔyowe· to mu·kinʔ,statement
he-saw-them-past,he saw them,cadú ʔyowe· ma·cal mu·kinʔ,statement
he-saw-them-past-2,he saw them (2),mu·kinʔ cadú ʔyowe· ma·cal,statement
he-saw-yall-past,he saw you (plural),cadú ʔyowe· mayal mu·kinʔ,statement
he-saw-yall-past-2,he saw you (plural) (2),mu·kinʔ mayal cadú ʔyow,statement
he-saw-you-past,he saw you,cadú ʔyowe· mito mu·kinʔ,statement
he-saw-you-past-2,he saw you (2),mito mu·kinʔ cadú ʔyow,statement
hear-i-you,I hear you,šocé· ʔa mito,statement
hear-i-you-but-understand-neg-prf-i,I hear you but I don't understand,šocé· ʔa mito muʔnatí baʔyahtʰelá· ʔa,statement; understanding
hear-imp,listen!,šocí,command
hear-not-i,I can't hear,šo·tʰé· ʔa,statement
hear-not-i-you,I can't hear you,šo·tʰé· ʔa mito,statement
hear-pl-imp,listen! (to several),šocʰméʔ,command
her-doll-is-that,that is her doll,ma·dáʔkʰe cá·ška naṭa ʔe· mu,statement
her-on-crazy-infer,he went crazy over her,ma·dal tol haqóhqocʼbiw,statement
her-purse-is-that-q,is that her purse?,ma·dáʔkʰe pe·su buhqʰal e· mu ˇ,question
here-come-imp,come here!,be·li wá·du,coming and going; command
here-sit-down-off-ground-imp,sit down here (off the ground)!,be·li cúma·ci,command
here-sit-down-on-ground-imp,sit down here (on the ground)!,be·li cáhci,command
here-stand-imp,stand here!,be·li tʼétʰma,command
hes-really-tall,he's really tall,ʔanáhmi ʔahqol e· mu·kinʔ,statement
hes-running-faster-than-she,he's running faster than she is,ma·dál ʔana· šahya mo·de· mu·kinʔ,statement
hes-taller-than-i,he's taller than I am,to· ʔaná· ʔahqol e· mu·kinʔ,statement
hes-taller-than-she,he's taller than she is,ma·dál ʔana· ʔahqol e· mu·kinʔ,statement
hes-taller-than-we,he's taller than we are,yal ʔaná· ʔahqol e· mu·kinʔ,statement
hes-tallest,he the tallest (of all),ṭʼi ʔána· ʔahqol e· mu·kinʔ,statement
his-sack-is-that-q,is that his sack?,mu·kínʔkʰe mišukʰ e· maʔu ˇ,question
home-return-imp,go back home!,ʔaca· qowí·ci,command
horse-det-carry-back-refl-caus-imp,have the horse carry it on its back!,kawa·yu ʔél pʰeyicʼqa,command; carrying
horse-on-put-imp,put it on the horse!,kawa·yu tól daʔdimá,command; carrying
horse-sub-deer-obj-carry-back-refl-infer,the horse is (evidently) carrying the deer on its back,kawa·yu ʔém bihše ʔel pʰeyícʼbiw,statement; carrying
house-fell,the house fell down,ʔahcá hcʰaw,statement
house-loc-from,from inside the house,ʔahcá· tow,location
how-are-you,how are you?,heʔén ma ʔiwa ˇ,greeting; question
how-are-you-pl,how are you? (to several),heʔén maya ʔiwaˇ,greeting; question
how-tall-is-he,how tall is he?,heʔén ʔahqol iwa mu·kinʔ ˇ,question
how-would-you-say-it-in-indian,how would you say it in Indian?,heʔén ṭa ma mice·duʔba ʔacaʔ ta·wi,teaching; speaking; question
i-feel-good,I feel good,q’oʔdi t’á·de· to,feeling
i-guess-its-like-that,I guess it's like that,men ínsʼem ʔṭʼo,statement
i-resp-foc-it,it was me (who did it),ʔa· ʔém (~n) ṭa mu ˇ,statement
i-saw-dog-past,I saw the dog,cadú ʔyowe· ʔa mul hayu,statement
i-saw-dog-past-2,I saw the dog (2),hayu ʔa mul cadú ʔyow,statement
i-saw-dog-past-3,I saw the dog (3),hayu mul ʔa cadú ʔyow,statement
i-saw-dog-past-4,I saw the dog (4),cadú ʔyowe· mul ʔa hayu,statement
i-saw-her-past,I saw her,cadú ʔyowe· ʔa ma·dal,statement
i-saw-him-past,I saw him,cadú ʔyowe· ʔa mu·kito,statement
i-saw-him-past-mubal,I saw him (alternate pronoun),cadú ʔyowe· ʔa mu·bal,statement
i-saw-it-past,I saw it,cadú ʔyowe· ʔa mul,statement
i-saw-them-past,I saw them,cadú ʔyowe· ʔa ma·cal,statement
i-saw-yall-past,I saw you (plural),cadú ʔyowe· ʔa mayal,statement
i-saw-you,I saw [?] you,cadu ʔá mito,statement
i-saw-you-past,I saw you,cadú ʔyowe· ʔa mito,statement
i-see-you,I see you,cadé· ʔa mito,statement
i-understand-abs,I understand,ʔa· baʔyáʔ,understanding
i-want-little-acorn-mush,I want a little acorn mush,ṭʰoʔo qáwi to da·w,statement
i-want-water,I want water,ʔahqʰa dá·w,"hunger, thirst"
ice-melt,the ice melted,ʔihyu· síhsoʔ,statement
if-dont-know-try,"if you don't know how, try!",dú·ciʔtʰipʰi hnatí·cʼi,command
im-good,"I'm good, fine",qʼoʔdi ʔé· ʔa,statement
im-good-how-are-you,"I'm good, how are you?","ʔa· ṭ’o ṭa q’oʔdi ʔém, ma ṭ’o heʔén ʔwa",greeting; question
im-hungry,I'm hungry,maʔá ʔdawa·nʔ,"hunger, thirst"
im-sated,I'm full; I've had enough to eat (or drink),damu·y,eating; statement
im-sated-2,I'm full; I've had enough to eat (or drink) (2),damú·ye· to,eating; statement
im-singing,I'm singing,qʼoʔo cáhnowe· ʔa,statement
im-starving,"I'm hungry, starving",maʔa haʔdawé· ʔa,eating; statement
im-thirsty,I'm thirsty,"ʔahqʰa dawá·nʔ , ʔahqʰá ʔdawa·nʔ","hunger, thirst"
im-thirsty-2,I'm thirsty (2),ʔahqʰá ʔdawa·de· to,"hunger, thirst"
im-very-hungry,I'm very hungry,ʔaná· to maʔa ʔdawa·nʔ,"hunger, thirst"
inspect-dur,inspect (a person or thing),pʰimitá·du,phrase
inspect-neg-imp,don't look for faults!,pʰimitáʔtʰuʔ,command
is-hungry,"he, she is hungry",dawánʔqaw,"hunger, thirst"
is-it-like-that,is it like that?,men íqam,understanding; question
is-thirsty,"he, she is thirsty",ʔahqʰa ʔdawánʔqaw,"hunger, thirst"
isnt-he-tall,isn't he tall! how tall he is!,heʔén ʔahqol iwa mu·kinʔ,statement
it-became-evening,it became evening,duwéʔliʔ,statement; time
it-smells-bad,it smells bad,piškudú mihšew,statement
it-smells-nice,"it smells nice, good",cʼíškan mihšew,statement
it-smells-rotten,it smells rotten,ṭʰóʔ mihšew,statement
it-sounds-good,it sounds good,qʼoʔdi báʔtʼaw,statement
it-tastes-bad-drink,it tastes bad (when drinking),piškudú siʔtʼaw,statement
it-tastes-good-drink,it tastes good (when drinking),qʼoʔdi síʔtʼaw,statement
it-tastes-salty-drink,it tastes salty (when drinking),ṭaʔqʼo síʔtʼaw,statement
it-tastes-sour-drink,it tastes sour (when drinking),mosʼ síʔtʼaw,statement
it-tastes-sweet-drink,it tastes sweet (when drinking),tú·lse siʔtʼaw,statement
it-tastes-watery-drink,it tastes watery (when drinking),qʰasíhqal siʔtʼáw,statement
its-becoming-evening,it's becoming evening,duwéʔli·y,statement; time
its-cooked-already,it's cooked already (it seems),ʔúl muʔtʼaqam ˇ,statement
its-expensive,it's expensive,ciliʔqʼo ʔ,statement
its-good,it's good,qʼoʔdí ʔ,statement
its-like-that-resp,it's like that,men ém ṭa,statement
its-not-good,it's not good,qʼoʔdi tʰín ʔ,statement
its-not-like-that,it's not like that; it didn't happen,men ʔsʼitʰem,statement
its-over-there,it's over there,haʔdi ʔém mu,statement; location
its-raining,it's raining,ʔihcʰe díbuʔ,weather
its-snowing,it's snowing,ʔihyu· dibuʔ,weather
its-three-oclock,it's three o'clock,sibó šoʔkʼow,statement
keys-your-still-you-carry-q,do you have your keys? (2),yá·we miʔkʰe ʔóʔ ma dinʔwade· ˇ,question
keys-your-you-still-carry-q,do you have your keys?,yá·we miʔkʰe ma ʔóʔ dinʔwade· ˇ,question
kiss-cat-imp,kiss the cat!,kúška ʔel haʔbó ʔtʼoci,command
kiss-imp,kiss him/her!,haʔbó ʔtʼoci,command
kneel-retr-imp-pl,everyone kneel!,cuhténcicʼmeʔ,command
lazy-feel-fact-me,I'm feeling lazy,duhkʰeníʔ tʼa·de· to,question
lazy-feel-fact-q,are you feeling lazy?,duhkʰeníʔ tʼa·de· ˇ,question
lazy-me,"I'm lazy, I feel lazy",duhkʰení·cʼe· to,statement
leave-hsy,"he/she has gone away, left (they say)",cohtóʔdo,statement
leave-hsy-already,"he/she has already gone away, left (they say)",ʔul cohtóʔdo,statement
leave-vis,he/she just left (I saw it),cohtó·y,statement
leave-vis-already,he/she already left (I saw it),ʔúl cohto·y,statement
lets-go-in-the-house,let's go in the house!,ʔahcá· ya pʰimahteʔ,going in and out; command
lie-down-ground-imp,lie down! (on the ground),miṭi·ci,command
listen-smlf-imp,listen up!,šocámci,command
listen-smlf-pl-imp,listen up! (to several),šocámcimeʔ,command
little-while-kneel-retr-imp-pl,everyone kneel for a moment!,qawi hla·li cuhténcicʼmeʔ,command
little-while-leave-recip-maybe,maybe they left each other for a little while,qawí hla·li qʼa·muʔ la·li ˇ,statement
little-while-separate-fall-recip,they (a family) have been separated for a while,qawí hla·li dihqʰacʰmuʔ,statement
man-n-woman-n-leave-recip,the man and woman got divorced,hiʔbaya qʼo ʔima·ta qʼo qʼa·múʔ,statement
man-pitiful-look,the man looks pitiful,hiʔbaya ší·batʰya· pʰiʔtʼaw,statement
many-rattlesnakes,many rattlesnakes,muhtʰi báṭʰe·,phrase
me-give-imp,give it to me!,to· díhqa,command
me-please-water-serve-imp,please give me some water!,to· qa ʔahqʰa hóweʔ,command
me-serve-imp,give it to me! (serving food or drink),to howéʔ,command
me-too,me too,ʔa· pʰalá,pronoun
me-towards-come-imp,come towards me!,to· tólhqʰaʔ wa·du,command
me-with,together with me,to· cóhto,phrase
milk-want-fact-you,do you want milk?,molókko da·we· mito ˇ,question
milk-without,without milk,molókko cʰoʔ,phrase
money-return-caus-imp,repay the money!,pe·su qowícʰqa,command
mountain-on,on the mountain,dono tól,adverb
much-make-noise-freq,they're making too much noise,ʔaná· sʼayasʼayaw,statement
my-car-return-caus-imp,return my car!,kʰe má·kina - qowícʰqa,command
my-car-stop-vis,my car stopped running,kʰe má·kina muhye·y,statement
my-deer-det-horse-det-carry-back-refl-caus-imp,have the horse carry my deer on its back!,kʰe bihše ʔel kawa·yu ʔél pʰeyicʼqa,command; carrying
my-deer-i-carry-back-refl-vis,I carried the deer on my back,kʰe bíhše ʔa pʰeyíyʔ,statement; carrying
my-is-that-money,that's my money,kʰe ʔé· mu pe·su,statement
my-knife-is-q-that,is that my knife?,kʰe qáhca ʔe hni mu ˇ,question
my-name-is,my name is _,to· šíhcimacʼe· _,introduction
my-name-is-inez,my name is Inez (responding to a question),to· šíhcimaʔ ʔem ṭa Inez,introduction
my-wood-bring-bunch-imp,bring my (bundle of) wood!,kʰe ʔahá· bide·du,command
my-you-fish-butcher-cond-q,could you clean my fish?,kʰe ma ʔahša šaméʔbe ˇ,question
name-is-my,my name is _ (alternate),_ šíhcimacʼe· to,introduction
oh-cook-it-please,"come now, cook it, please!",cʰi dutʼatá·du qayʔ,command
orange-drink-you-want-fact,do you want orange drink?,nará·ha qʼo· mito da·we· ˇ,question
outside-run-here-there-fact,(someone) is running around outside,ʔuhwa· mónʔwanʔ,statement
overcast-vis-us,"the weather turned bad, overcast on us",ʔama kʰúnuhye· yal,statement
pain-is-small,the pain is small; it aches a little,duhṭʰal é· qawi,statement
people-coming,people are coming,ʔacaʔ pʰilá·cʼ,statement
person-bare-walk-here-there,the person is walking around naked,ʔacacʼ em qahqo wánʔwadu,command
person-coming,a person is coming,ʔacaʔ wá·nʔ,statement
person-short,short person,ʔacaʔ bíʔtʼe,phrase
person-tall-pl,tall people,ʔacaʔ ʔaqólay,phrase
please-cook-it,please cook it!,qayʔ dutʼatá·du,command
potato-pick-up-ss-table-on-put-imp,pick up the (bag of) potatoes and put them on the table!,hiʔbu cʰíʔdicʰpʰi lamé·sa tol daʔdima,command
prepare-it,cook it! prepare it!,dutʼatá·du,command
put-down-imp,put it down!,bane,command
quilt-scatter-pull-imp,shake out the quilt!,cʼoʔqʰo šohpʰoṭí,command
rain-worse-fall-fact,it's raining very hard,ʔihcʰe šamá· dibucʰ,statement; weather
recognize-sight-neg-prf-i,I don't recognize it (by sight),pʰiʔyahtʰelá· ʔa,statement
return-caus-imp,tell him to go home!,qowícʰqa,command
return-caus-imp-me,return it to me!,qowícʰqawe to ʔ,command
return-imp,go home! return!,qowí·ci,command
return-int-perf-i,I'm going to return home,qowí·ti ʔdela· ʔa,statement
rip-pull-imp,pull it apart! tear it in half!,šuhqʰaṭí,command
ripen-abs-already,it's already ripened,ʔul sʼíʔ,statement
ripen-biw,it's gotten ripe (it seems),sʼícʼbiw,statement
root-cop-that,it's a root,ʔihqʰoṭʼ é· mu,statement
run-fast,run fast!,šahya mó·du,command
run-fast-min,run fast! (2),šahya mín mo·du,command
run-faster,run faster!,miʔána· šahya mo·du,command
run-faster-2,run faster! (2),šahya mó·du miʔánaw ʔ,command
same-look,they look the same,kúʔmeʔ huʔúhtimʔ,statement
say-it-after-me,say it after me!,to· qʰamá· mice·du,teaching; command; speaking
say-it-again,say it again!,pʰala míce·du,teaching; command; speaking
say-it-again-pl,say it again! (to several),pʰala míyic’meʔ,teaching; command; speaking
say-it-in-indian,say it in Indian!,ʔacaʔ cáhno·du,teaching; command; speaking
say-it-in-indian-pl,say it in Indian! (to several),ʔacaʔ lowác’meʔ,teaching; command; speaking
say-neg-imp,don't say that!,micéʔtʰuʔ,command
scatter-hand-imp,fluff (the pillow)! brush it off!,dahpʰóhpʰoci,command
scrub-brush-brush-handle-refl-imp,brush yourself off with a brush!,cucʼuqáʔli - cohpʰoṭí·cʼi,command
search-dur-dist,"go around looking, searching",mubetá·duwa·du,phrase
see-prf-cmp,I saw (it),cadéla,statement
see-prf-cmp-i-him,I see him,cadéla· ʔa mu·kito,statement
see-prf-cmp-i-it=EP,I see it,cadéla· ʔa mul,statement
see-want-nfv-you,I want to see you,cadu dá·we· mito,statement
shallow-water,shallow water,ʔahqʰa wina·,phrase
shoe-remove-refl-imp,take your shoes off!,sapá·tu šololi·cʼi,command
sit-down-group-on-ground-imp-pl,sit down (on the ground) in one group!,šuqʰácʰmeʔ,command
sit-down-group-on-ground-pl-imp-pl,sit down (on the ground) in several groups!,šuqʰáhcimeʔ,command
sit-down-off-ground-imp,sit down (off the ground)!,cuma·ci,command
sit-down-on-ground-imp,sit down (on the ground)!,cahci,command
sleep-imp,sleep!,sima·qa,command
sleep-pl-imp,sleep! (to several),simatáhmeʔ,command
slice-imp,slice it!,caqʰa,command
small-ache,small ache,duhṭʰál qawi,phrase
smile-dur,be smiling,pihmoyá·du,phrase
smile-dur-dist,go around smiling,pihmoyá·duwa·du,phrase
smile-incep-neg-q,"he just smiled, didn't he?",pihmoyí·bi·tʰe hni ˇ,question
someone-mud-throw-my-car,someone hit my car with mud,ciba· tʰin maṭʼqʰa báneye· kʰe ma·kina,statement
song-sing-imp,sing a song!,qʼoʔo cáhno,command
splash-hand-imp,splash with your hands!,dapʰo·ṭi,command
stand-imp,stand! be standing!,tʼetʰmá,command
stand-up-imp,stand up!,tʼetibi·cí,command
start-here,start here!,be·li túbiyi·c’i,teaching; command; speaking
stop-imp,stop it! quit it!,sáhqacʼi,command
stove-on-heat-close-imp,turn off the heat on the stove!,stú·fa tol ʔoho šúʔpʼani,command
string-asr-that-q,is that a string?,sulemáṭʼ e· mu ˇ,question
sugar-want-fact-you,do you want sugar?,túyʔtu da·we· mito ˇ,question
table-on,on the table,lamé·sa tol,phrase
table-on-sit-pl,they're sitting on the table,lamé·sa tol bamáw,statement
tea-me-serve-imp,give me tea!,cá·yo to howeʔ,command
that-emph-cup-asr,that is a cup,mu· ṭʼo há·ro ʔ,statement
that-emph-his-car-asr,that is his car,mu· ṭʼo mu·kínʔkʰe má·kina ʔ,statement
that-emph-my-shoe-asr,that is my shoe,mu· ṭʼo kʰe sápa·tu ʔ,statement
that-emph-your-shoe-asr,that is your shoe,mu· ṭʼo miʔkʰe sápa·tu ʔ,statement
that-paper-pick-up-ss-table-on-put-imp,pick up that paper and put it on the table!,haʔal kalikákʰ dihcipʰi lamé·sa tol banemá,command
that-person-food-give-imp,give that person some food!,mul ʔacáʔ maʔa díhqa,command
that-your-house-is-q,is that your house? (alternate),mu· miʔkʰe ʔáhca ʔe hni ˇ,question
thats-not-right,that's not right,kataṭí tʰin e· mu,teaching
thats-not-true,that's not true,ʔihmi tʰín e· mu,teaching
thats-right,that's right,kataṭí ʔe· mu,teaching
thats-the-way,that's the way,men ém ʔṭʼo,statement
thats-true,that's true,ʔihmi ʔé· mu,teaching
the-indian-way-is-difficult,the Indian way is difficult,ʔahsiy é· mu ʔacaʔ ta·wi,teaching
the-indian-way-is-very-difficult,the Indian way is very difficult,ʔaná· ʔahsiy e· mu ʔacaʔ ta·wi,teaching
there-apple-sit-pl,the apples are sitting over there (on a table),haʔu ya·pálka bamaw,statement
there-go-in,go in there,mi· máʔ,phrase
there-go-in-pl,go in there (several),mi· pʰimáʔ,phrase
there-high-lie-off-ground,"it's lying up there (on a shelf, roof)",haʔu qali· mimáw,statement
there-isnt-any,there isn't any,cʰo·wén ṭa,statement
there-lie-off-ground,it's lying over there (on a table or couch),haʔu mímaw,statement
there-low-go-out-imp,"go out there, downhill!",haʔdi bida· waqá,command
theres-no-whistle,there's no whistle,cʰo·wén ṭa libu· ˇ,statement
they-saw-us,they saw us,cacʼ íyowe· yal ma·caʔ,statement
they-saw-us-2,they saw us (2),cacʼ íyowe· ma·caʔ yal,statement
they-saw-us-3,they saw us (3),ma·cáʔ yal cacʼ íyow,statement
they-saw-us-resp,they saw us (responding to a question),ma·cáʔ ṭa yal cacʼam ˇ,statement
this-emph-cup-asr,this is a cup,maʔu ṭʼo há·ro ʔ,statement
this-emph-her-doll-asr,this is her doll,maʔu ṭʼo ma·dáʔkʰe cá·ška naṭa ʔ,statement
