Filename,English,Kashaya,Categories
carry-back-e-refl-imp,carry it on your back! (alternate form),pʰeyí·cʼi,command
carry-back-refl-imp,carry it on your back!,pʰiyí·cʼi,command
carry-person-refl-imp,"carry (him, her) on your back!",pʰiyí·cʼi,command
cat-det-outside-go-here-there,the cat is walking around outside,kúška ʔem ʔuhwa· wánʔwanʔ,statement
cat-det-outside-go-here-there-pl-sep,the cats are walking around outside,kúška ʔem ʔuhwa· hayómʔ,statement
cat-det-run-here-there-fact,the cat is running around,kúška ʔem monʔwánʔ,statement
cat-det-table-on-sit-off-ground,the cat is sitting on the table,kúška ʔem lamé·sa tol cumáw,statement
cat-det-tree-on-climb-here-there,the cat is climbing around in the tree,kúška ʔem qʰale tól tanʔwadu,statement
cat-outside,the cat is outside,kúška ʔuhwá·,statement
cat-strangle-neg-imp,don't strangle the cat!,kúška doʔqʼotámtʰuʔ,command
chicken-burn,burnt chicken,kayi·na múhkʰuyʔ,phrase
child-bad-asr,he's a bad boy (child),naṭa píšudu ʔ,statement
child-det-carry-person-refl-imp,carry the child on your back!,naṭa ʔel pʰiyí·cʼi,command
child-det-my-carry-person-refl-imp,carry my child on your back! (other order),naṭa ʔel kʰe pʰiyí·cʼi,command
child-det-very-cry,"the child cried, is crying a lot",naṭa ʔem ʔaná· qaʔcʼaʔ,statement
child-det-very-cry-fact,the child is crying a lot,naṭa ʔem ʔaná· qaʔcʼaṭʰ,statement
child-pl-check-imp,go check on the children!,naṭá yya qʼacʰmací,command
child-your-carry-person-refl-imp,carry your child on your back!,naṭa míʔkʰe pʰiyí·cʼi,command
chop-tree,chopped down a tree,qʰale píqʰaw,phrase
chop-trees,chopped down trees,qʰale píqʰamʔ,phrase
clock-stop-vis,the clock stopped,haʔda muhyé·y,statement
close-eyes-imp,close your eyes!,pʰisʼámcicʼi,command
close-imp,"close it! (door); turn it off! (faucet, machine)",šuʔpʼaní,command
cloth-sew,sew clothing,kʼaṭa bítʼelʔ,phrase
cloth-sew-nfv-i,I'm sewing clothing,kʼaṭa bítʼe·le· ʔa,statement
cloth-wash-ss-me-very-tired-vis,I was washing clothes and got really tired,kʼaṭa dáse·ba to ʔaná· tʼunuwiy,statement
clothes-iron,iron clothes,kʼaṭa bóṭʼahqaw,phrase
clothes-stiff,"stiff, starched clothes",kʼaṭa múhqa,phrase
coffee-cop-i-like,I like coffee_,kafé· ʔe· ʔa da·qaʔ,statement
coffee-me-want,I want coffee,kafé· to da·w,statement
coffee-pour-into-imp,pour some coffee (into the cup)!,kafé· ṭʼa·ma,command
coffee-want-fact,do (you) want coffee?,kafé· da·we· ˇ,question
coffee-want-fact-you,do you want coffee?,kafé· da·we· mito ˇ,question
comb-your-hair-imp,comb your hair!,heʔe cúqʼaṭi·cʼi,command
come,come!,wa·dú,coming and going; command
come-after-me,come after me!,to· qʰamá· wa·du,following; command
come-after-me-pl,come after me! (to several),to· qʰamá· pʰilac’meʔ,following; command
come-and-eat-some-food-pl,come and eat some food! (to several),pʰilac’méʔ - maʔa búmuyic’meʔ,eating; command
come-here-and-eat,come here and eat!,"be·li wá·du, bumucí·du",eating; command
come-imp-food-eat-imp,come and eat!,"wa·dú, maʔa búmuci·du",eating; command
come-in-here,come in here!,be·li má·qo,going in and out; command
come-in-here-pl,come in here! (to several),be·li pʰímahmeʔ,coming and going; command
come-in-house,come inside the house!,ʔahcá· ma·qo,going in and out; command
come-in-imp,come in!,ma·qó,going in and out; command
come-in-pl,come in! (to several),pʰimáhmeʔ,going in and out; command
come-pl,come! (to several),pʰilac’méʔ,coming and going; command
come-with-me,come with me!,to· cóhto wa·du,following; command
come-with-me-pl,come with me! (to several),to· cóhto pʰilac’meʔ,following; command
cook-it,cook it!,muʔtʼáhqa,command
cook-it-please,"cook it, please!",dutʼatá·du qayʔ,command
cook-meat,cook the meat!,bihše múʔtʼahqa,command
crawl-in-out,crawl in and out,cimaci·dun ciwoqó·cʼedu,phrase
cry-fact-q-my-child,is my child crying?,qaʔcʼaṭé hni kʰe naṭa ˇ,question
cry-neg-fact-q,isn't (the baby) crying?,qaʔcʼáhtʰe hni ˇ,question
cry-vis-q,is (the baby) crying?,qaʔcʼáhye hni ˇ,question
dance-imp,dance!,qʼoʔo máne,command
dance-pl,dance! (to several),qʼoʔo mánemeʔ,command
detach-vis-i-thorn-obj,I removed the thorn (from the bush) (verb first),duhlúʔye· ʔa hiʔṭʼiṭʼ el,statement
dish-wash-will-not-i,I won't wash the dishes,cá·ška daseʔkʰe tʰín e· ʔa,statement
do-thus,"he/she did so, did it",men ʔsʼiw,statement
dog-bark-alot,the dog is barking a lot,hayu ʔem ʔaná· cahnow,statement
dog-det-always-choke-dur,the dog is always choking ,hayu ʔem kumiʔdaʔ sihkʰitá·du,command
dog-det-child-pl-thing-bother,the dog is bothering the children,hayu ʔém naṭá yya ʔel ʔama dúhqʰawa·du,statement
dog-det-child-pl-thing-bother-hab,the dog is always bothering the children,hayu ʔém naṭá yya ʔel duhqʰawá·duce·du,statement
dog-det-laugh-fact,the dog is laughing,hayu ʔem cʰuwayá·nʔ,statement
dog-det-laugh-like-look-resp,the dog looks like it's laughing,hayu ʔem cʰuwayá·du min pʰiʔtʼawam ˇ,statement
dog-obj-tickle-imp,tickle the dog!,hayu ʔel qʰosʼisʼá·du,command
dog-tail-wag,the dog's tail is wagging,hayu hiba· pʰíʔliʔliw,statement
dog-tail-wag-caus,the dog is wagging its tail,hayu ʔem hiba· ʔel pʰiʔlíʔlihqaw,statement
dog-tan,brown or tan dog,hayu qʰálaʔ,phrase
dont-dance,don't dance!,qʼoʔo manetʰúʔ,command
door-close-imp,close the door!,hóhwa šuʔpʼaní,command
door-close-imp,close the door!,hóhwa šuʔpʼani,command
door-open-imp,open the door!,hóhwa šuhṭʰa,command
door-toward-go-out-imp,walk to the door!,hóhwa tolhqʰaʔ waqa,command
drown-neg-imp,don't drown!,sinamtʰúʔ,command
eat-food-pl,eat food (several),maʔa búmuyiʔ,eating
eat-imp,eat! (short version),maʔá,eating; command
eat-pl,eat! (to several),bumuyíc’meʔ,eating; command
eat-some-food,eat some food!,maʔa búmuci·du,eating; command
eat-some-food-pl,eat some food! (to several),maʔa búmuyic’meʔ,eating; command
egg-like-smell,it smells like an egg,hicʼo· mín mihšew,statement
everyone-say-it-again,everyone say it again!,ṭ’ihca pʰala míyic’meʔ,teaching; command; speaking
exchange-sides-imp-pl,everyone change sides!,qowálmucʼmeʔ,command
eye-big-pl-with-cop-q,does it have big eyes?,huʔú· ʔahṭʰiy ʔqʼo ʔe hni ˇ,question
eye-open-up-imp,open your eyes!,huʔú· piṭiši·bici,command
face-around-imp,turn around!,qʰácʰmuli·cʼi,command
face-long-down-imp-pl,put on a long sad face!,šubela·laméʔ,command
fast-like-do-imp,do it fast!,šahya mín cicʼi·du,command
feed-him,feed (him or her)!,maʔa bílaqʰa·ma,eating; command
find-vis-i,I found it,daʔtʼayé· ʔa,statement
finish-i-word,I'm finished speaking,duʔkʼuyé· ʔa cahno,statement
fire-build-imp,build a fire!,ʔoho báma,command
fire-burn-fact,the fire is burning,ʔoho má·cʰ,statement
food-eat-fut-cop-q-you,are you going to eat?,maʔa búmucinʔkʰe ʔe hni ma ˇ,question
food-eat-int-prf-i,I'm going to eat,maʔa búmuciʔti ʔdela· ʔa,statement
food-give-int,"let's give (him, her) food!",maʔa díhqateʔ,command
food-give-neg-q,"he was given food, right?",maʔa díhqatʰe hni ˇ,question
food-give-vis,gave food (to someone),maʔa díhqay,statement
food-give-vis-you,"did you give (him, her) food?",maʔa díhqaye· ma ˇ,question
food-hungry-psy,"he, she is hungry (for food)",maʔá ʔdawanʔqaw,"hunger, thirst"
food-spicy-good-taste,spicy food tastes good,maʔa caha qʼoʔdi qáʔtʼaw,statement
from-outside,from outside,ʔuhwa· tów,location
full-caus-imp,fill it!,cuṭʼahqá,command
gas-pour-down-caus-imp,put gas in!,ʔihpʰú· ṭʼaya·lahqa,command
get-well-imp,get well!,qašo·qo,command
give-bunch-imp,give (a bunch)!,biʔdaqá,command
give-one-imp,give (one thing)!,dihqa,command
go-away-pl-already,"they've already gone away, left",ʔúl pʰilaʔ,statement
go-away-pl-hsy,"they've gone away, left (they say)",pʰiláʔdo,statement
go-away-pl-vis,"they've gone away, left (I saw it)",pʰilayh,statement
go-away-pl-vis-already,"they've already gone away, left (I saw it)",ʔúl pʰilayh,statement
go-down-imp,go down!,walá,command
go-down-pl-imp,go down! (to several),pʰilalá·meʔ,command
go-far-pl-vis-already,they've already gone far away (I saw it),ʔúl pʰila·cʼi·y,statement
go-in,go in!,mací,going in and out; command
go-in-out,go in and out,maci·dun woqó·cʼedu,phrase
go-in-pl,go in! (to several),pʰimácʰmeʔ,going in and out; command
go-in-there-imp,go in there!,mi· mací,going in and out; command
go-in-there-pl-imp,go in there! (to several),mi· pʰimác’meʔ,going in and out; command
go-out-imp,go out!,waqá,command
go-outside,go outside!,ʔuhwa· waqá,going in and out; command
good-and-you,"good, and you?","q’oʔdi, ma ṭ’o",greeting; question
good-appear,it looks good,qʼoʔdi pʰíʔtʼaw,statement
good-inspect-dur,inspect carefully,qʼoʔdi pʰímita·du,phrase
hair-cut-projecting,"cut off, trim hair",heʔe díʔkʼolʔ,phrase
hair-tie-up-refl-imp,tie up your hair!,heʔe pʰánama·cʼi,command
he-almost-died,he almost died,cʰoyíʔti ʔduwe· mu,statement
he-can-run-faster-than-she,he can run faster than she can,ma·dal ʔana· šahya mó·duʔbe· mu·kinʔ,statement
he-cop-it,it was him (who did it),mu·kin é· mu,statement
he-cop-me-very-know,he knows more than I do,mu·kin é· to ʔaná· du·ciʔ,statement
he-saw-her-past,he saw_ her,cadú ʔyowe· ma·dal mu·kinʔ,statement
he-saw-her-past-2,he saw her,mu·kinʔ ma·dal cadú ʔyow,statement
he-saw-him-past,he saw_ him,cadú ʔyowe· mu·kinʔ mu·kito,statement
he-saw-him-past-2,he_ saw him,mu·kito mu·kinʔ cadú ʔyow,statement
he-saw-him-past-3,he saw him_,mu·kinʔ cadú ʔyowe· mu·kito,statement
he-saw-him-past-4,he_ saw_ him,cadú ʔyowe· mu·kito mu·kinʔ,statement
he-saw-me-past,he saw_ me,cadú ʔyowe· to mu·kinʔ,statement
he-saw-them-past,he saw_ them,cadú ʔyowe· ma·cal mu·kinʔ,statement
he-saw-them-past-2,he_ saw them,mu·kinʔ cadú ʔyowe· ma·cal,statement
he-saw-yall-past,he saw_ you (plural),cadú ʔyowe· mayal mu·kinʔ,statement
he-saw-yall-past-2,he saw you (plural),mu·kinʔ mayal cadú ʔyow,statement
he-saw-you-past,he saw_ you,cadú ʔyowe· mito mu·kinʔ,statement
he-saw-you-past-2,he saw you,mito mu·kinʔ cadú ʔyow,statement
hear-i-you,I hear you,šocé· ʔa mito,statement
hear-i-you-but-understand-neg-prf-i,I hear you but I don't understand,šocé· ʔa mito muʔnatí baʔyahtʰelá· ʔa,statement; understanding
hear-imp,listen!,šocí,command
hear-not-i,I can't hear,šo·tʰé· ʔa,statement
hear-not-i-you,I can't hear you,šo·tʰé· ʔa mito,statement
hear-pl-imp,listen! (to several),šócʰmeʔ,command
her-doll-is-that,that is her doll,ma·dáʔkʰe cá·ška naṭa ʔe· mu,statement
her-on-crazy-infer,he went crazy over her,ma·dal tol haqóhqocʼbiw,statement
her-purse-is-that-q,is that her purse?,ma·dáʔkʰe pe·su buhqʰal e· mu ˇ,question
here-come-imp,come here!,be·li wá·du,coming and going; command
here-cop-your-money-returned,here's your change (money returned),maʔu ʔé· miʔkʰe pe·su qowícʰqaw,statement
here-sit-down-off-ground-imp,sit down here (off the ground)!,be·li cúma·ci,command
here-sit-down-on-ground-imp,sit down here (on the ground)!,be·li cáhci,command
here-stand-imp,stand here!,be·li tʼétʰma,command
hes-really-tall,he's really tall,ʔanáhmi ʔahqol e· mu·kinʔ,statement
hes-running-faster-than-she,he's running faster than she is,ma·dál ʔana· šahya mo·de· mu·kinʔ,statement
hes-taller-than-i,he's taller than I am,to· ʔaná· ʔahqol e· mu·kinʔ,statement
hes-taller-than-she,he's taller than she is,ma·dál ʔana· ʔahqol e· mu·kinʔ,statement
hes-taller-than-we,he's taller than we are,yal ʔaná· ʔahqol e· mu·kinʔ,statement
hes-tallest,he the tallest (of all),ṭʼi ʔána· ʔahqol e· mu·kinʔ,statement
him-ask-caus-imp,ask him!,mu·kito báhnatʰqa,command
him-ask-caus-imp-raining-like-sound-fact-imp,ask him – it sounds like it's raining!,mu·kitó bahnatʰqa – ʔihcʰe díbuʔ min baʔtʼawa ʔ,command
his-sack-is-that-q,is that his sack?,mu·kínʔkʰe mišukʰ e· maʔu ˇ,question
hold-breath-dur,keep holding one's breath,muʔbecí·du,phrase
home-return-imp,go back home!,ʔaca· qowí·ci,command
horse-det-carry-back-refl-caus-imp,have the horse carry it on its back!,kawa·yu ʔél pʰeyicʼqa,command; carrying
horse-on-put-imp,put it on the horse!,kawa·yu tól daʔdimá,command; carrying
horse-sub-deer-obj-carry-back-refl-infer,the horse is (evidently) carrying the deer on its back,kawa·yu ʔém bihše ʔel pʰeyícʼbiw,statement; carrying
house-fell,the house fell down,ʔahcá hcʰaw,statement
house-loc-from,from inside the house,ʔahcá· tow,location
how-are-you,how are you?,heʔén ma ʔiwa ˇ,greeting; question
how-are-you-pl,how are you? (to several),heʔén maya ʔiwaˇ,greeting; question
how-tall-is-he,how tall is he?,heʔén ʔahqol iwa mu·kinʔ ˇ,question
how-would-you-say-it-in-indian,how would you say it in Indian?,heʔén ṭa ma mice·duʔba ʔacaʔ ta·wi,teaching; speaking; question
hungry-fact,(I) am hungry,dawá·nʔ,"hunger, thirst"
i-cop-door-open,I_ opened the door,ʔa· ʔé· hóhwa šuhṭʰáw,statement
i-feel-good,I feel good,q’oʔdi t’á·de· to,feeling
i-guess-its-like-that,I guess it's like that,men ínsʼem ʔṭʼo,statement
i-long-run-along-fact,I'm running along,ʔa· mó·nʔ,statement
i-resp-foc-it,it was me (who did it),ʔa· ʔém (~n) ṭa mu ˇ,statement
i-saw-dog-past,I saw_ the dog,cadú ʔyowe· ʔa mul hayu,statement
i-saw-dog-past-2,I saw that dog_,hayu ʔa mul cadú ʔyow,statement
i-saw-dog-past-3,I saw that dog,hayu mul ʔa cadú ʔyow,statement
i-saw-dog-past-4,I saw_ that dog,cadú ʔyowe· mul ʔa hayu,statement
i-saw-her-past,I saw her,cadú ʔyowe· ʔa ma·dal,statement
i-saw-him-past,I saw him,cadú ʔyowe· ʔa mu·kito,statement
i-saw-him-past-mubal,I saw him (alternate pronoun),cadú ʔyowe· ʔa mu·bal,statement
i-saw-it-past,I saw it,cadú ʔyowe· ʔa mul,statement
i-saw-them-past,I saw them,cadú ʔyowe· ʔa ma·cal,statement
i-saw-yall-past,I saw you (plural),cadú ʔyowe· ʔa mayal,statement
i-saw-you,I saw you,cadu ʔá mito,statement
i-saw-you-past,I saw_ you,cadú ʔyowe· ʔa mito,statement
i-see-you,I see you,cadé· ʔa mito,statement
i-understand-abs,I understand,ʔa· baʔyáʔ,understanding
i-want-little-acorn-mush,I want a little acorn mush,ṭʰoʔo qáwi to da·w,statement
i-want-water,I want water,ʔahqʰa dá·w,"hunger, thirst"
ice-melt,the ice melted,ʔihyu· síhsoʔ,statement
if-dont-know-try,"if you don't know how, try!",dú·ciʔtʰipʰi hnatí·cʼi,command
im-good,"I'm good, fine",qʼoʔdi ʔé· ʔa,statement
im-good-how-are-you,"I'm good, how are you?","ʔa· ṭ’o ṭa q’oʔdi ʔém, ma ṭ’o heʔén ʔwa",greeting; question
im-hungry,I'm hungry (for food),maʔá ʔdawa·nʔ,"hunger, thirst"
im-sated,"(I) am full, have had enough to eat (or drink)",damú·y,eating; statement
im-sated-2,"I'm full, have had enough to eat (or drink)",damú·ye· to,eating; statement
im-singing,I'm singing,qʼoʔo cáhnowe· ʔa,statement
im-starving,"I'm hungry, starving",maʔa haʔdawé· ʔa,eating; statement
im-thirsty,(I) am thirsty,ʔahqʰa dawá·nʔ ~ ʔahqʰá ʔdawa·nʔ,"hunger, thirst"
im-thirsty-2,I'm thirsty,ʔahqʰá ʔdawa·de· to,"hunger, thirst"
im-very-hungry,I'm very hungry,ʔaná· to maʔa ʔdawa·nʔ,"hunger, thirst"
inspect-dur,inspect (a person or thing),pʰimitá·du,phrase
inspect-neg-imp,don't look for faults!,pʰimitáʔtʰuʔ,command
is-hungry,"he, she is hungry",dawánʔqaw,"hunger, thirst"
is-it-like-that,is it like that?,men íqam ˇ,understanding; question
isnt-he-tall,isn't he tall! how tall he is!,heʔén ʔahqol iwa mu·kinʔ,statement
it-became-evening,it became evening,duwéʔliʔ,statement; time
it-smells-bad,it smells bad,piškudú mihšew,statement
it-smells-nice,"it smells nice, good",cʼíškan mihšew,statement
it-smells-rotten,it smells rotten,ṭʰóʔ mihšew,statement
it-sounds-good,it sounds good,qʼoʔdi báʔtʼaw,statement
it-tastes-bad-drink,it tastes bad (when drinking),piškudú siʔtʼaw,statement
it-tastes-good-drink,it tastes good (when drinking),qʼoʔdi síʔtʼaw,statement
it-tastes-salty-drink,it tastes salty (when drinking),ṭaʔqʼo síʔtʼaw,statement
it-tastes-sour-drink,it tastes sour (when drinking),mosʼ síʔtʼaw,statement
it-tastes-sweet-drink,it tastes sweet (when drinking),tú·lse siʔtʼaw,statement
it-tastes-watery-drink,it tastes watery (when drinking),qʰasíhqal siʔtʼáw,statement
its-becoming-evening,it's becoming evening,duwéʔli·y,statement; time
its-cooked-already,it's cooked already (it seems),ʔúl muʔtʼaqam ˇ,statement
its-expensive,it's expensive,ciliʔqʼo ʔ,statement
its-good,it's good,qʼoʔdí ʔ,statement
its-like-that-resp,it's like that,men ém ṭa,statement
its-not-good,it's not good,qʼoʔdi tʰín ʔ,statement
its-not-like-that,it's not like that; it didn't happen,men ʔsʼitʰem,statement
its-over-there,it's over there,haʔdi ʔém mu,statement; location
its-raining,it's raining,ʔihcʰe díbuʔ,weather
its-snowing,it's snowing,ʔihyu· dibuʔ,weather
its-three-oclock,it's three o'clock,sibó šoʔkʼow,statement
kettle-in-more-water-pour-imp,pour more water into the kettle!,cáynikʰ wi pʰala ʔáhqʰa ṭʼayá·la,command
keys-your-still-you-carry-q,do you still have your keys?,yá·we miʔkʰe ʔóʔ ma dinʔwade· ˇ,question
keys-your-you-still-carry-q,do you have your keys still?,yá·we miʔkʰe ma ʔóʔ dinʔwade· ˇ,question
kiss-cat-imp,kiss the cat!,kúška ʔel haʔbó ʔtʼoci,command
kiss-imp,kiss him/her!,haʔbó ʔtʼoci,command
kneel-retr-imp-pl,everyone kneel!,cuhténcicʼmeʔ,command
laugh-caus-dur,always make (someone) laugh; amuse,cʰuwayánʔqame·du,phrase
lazy-feel-fact-me,I'm feeling lazy,duhkʰeníʔ tʼa·de· to,question
lazy-feel-fact-q,are you feeling lazy?,duhkʰeníʔ tʼa·de· ˇ,question
lazy-me,"I'm lazy, I feel lazy",duhkʰení·cʼe· to,statement
leave-hsy,"he/she has gone away, left (they say)",cohtóʔdo,statement
leave-hsy-already,"he/she has already gone away, left (they say)",ʔul cohtóʔdo,statement
leave-vis,he/she just left (I saw it),cohtó·y,statement
leave-vis-already,he/she already left (I saw it),ʔúl cohto·y,statement
leg-muscle-cramp-1p-vis-me,my leg muscle is cramped,šahku ʔíma cʰiṭʰwiye· to,statement
lets-go-in-the-house,let's go in the house!,ʔahcá· ya pʰimahteʔ,going in and out; command
lie-down-ground-imp,lie down! (on the ground),miṭi·ci,command
listen-smlf-imp,listen up!,šocámci,command
listen-smlf-pl-imp,listen up! (to several),šocámcimeʔ,command
little-while-kneel-retr-imp-pl,everyone kneel for a moment!,qawi hla·li cuhténcicʼmeʔ,command
little-while-leave-recip-maybe,maybe they left each other for a little while,qawí hla·li qʼa·muʔ la·li ˇ,statement
little-while-separate-fall-recip,they (a family) have been separated for a while,qawí hla·li dihqʰacʰmuʔ,statement
luck-incep-vis-you,you're lucky,šaqʼa·bí·ye· mito,statement
machine-with-gamble,gamble with a slot machine,má·kina wi qama·du,phrase
man-beautiful,handsome man,hiʔbayá cʼiškan,phrase
man-n-woman-n-leave-recip,the man and woman got divorced,hiʔbaya qʼo ʔima·ta qʼo qʼa·múʔ,statement
man-pitiful-look,the man looks pitiful,hiʔbaya ší·batʰya· pʰiʔtʼaw,statement
man-youth-cop-i,I'm a young man,hiʔbayá qawiya ʔe· ʔa,statement
many-rattlesnakes,many rattlesnakes,muhtʰi báṭʰe·,phrase
me-give-imp,give it to me!,to· díhqa,command
me-please-water-serve-imp,please give me some water!,to· qa ʔahqʰa hóweʔ,command
me-serve-imp,give it to me! (serving food or drink),to howéʔ,command
me-too,me too,ʔa· pʰalá,pronoun
me-towards-come-imp,come towards me!,to· tólhqʰaʔ wa·du,command
me-with,together with me,to· cóhto,phrase
meat-burn,burnt meat,bihše múhkʰuyʔ,phrase
milk-drink-imp,drink the milk!,molókko qʼocí,command
milk-drink-imp-pl,drink your milk! (to several),molókko mayaʔkʰe qʼócʰmeʔ,command
milk-want-fact-you,do you want milk?,molókko da·we· mito ˇ,question
milk-without,without milk,molókko cʰoʔ,phrase
mom-house-tidy,my mom cleans the house,ʔa·tʰenʔ ʔahca dúhcʰiw,statement
mom-house-today-tidy,my mom cleaned the house today,ʔa·tʰenʔ ʔahca bimáci duhcʰiw,statement
mom-house-yesterday-tidy,my mom cleaned the house yesterday,ʔa·tʰenʔ ʔahca dúweʔ duhcʰiw,statement
money-return-caus-imp,repay the money!,pe·su qowícʰqa,command
more-water-pour-imp,pour more water (into it)!,pʰala ʔahqʰa ṭʼayá·la,command
mother-subj-child-carry-back-refl-inf,the mother carried the child on her back,miyá·ṭʰe ʔem naṭa pʰéyicʼbiw,statement
mountain-on,on the mountain,dono tól,adverb
move-heavy-imp,put down (a heavy thing)!,daʔdí,command
much-make-noise-freq,they're making too much noise,ʔaná· sʼayasʼayaw,statement
my-bread-toast-caus-imp,toast some bread for me!,kʰe cuhni· muqʼáṭʰqa,command
my-car-return-caus-imp,return my car!,kʰe má·kina - qowícʰqa,command
my-car-stop-vis,my car stopped running,kʰe má·kina muhye·y,statement
my-child-carry-bunch-along-imp,carry my child (in your arms)!,kʰe naṭa bíde·du,command
my-child-det-carry-person-refl-imp,carry my child on your back!,kʰe naṭa ʔel pʰiyí·cʼi,command
my-child-here-carry-bunch-along-imp,bring my child here (in your arms)!,kʰe naṭa be·li bíde·du,command
my-deer-det-horse-det-carry-back-refl-caus-imp,have the horse carry my deer on its back!,kʰe bihše ʔel kawa·yu ʔél pʰeyicʼqa,command; carrying
my-deer-i-carry-back-refl-vis,I carried the deer on my back,kʰe bíhše ʔa pʰeyíyʔ,statement; carrying
my-fingertip-always-tingle,my fingertips are always tingling,to cohšo púʔšul kumíʔdaʔ cʼimecʼimew,statement
my-home,"my home, at my place",kʰe ʔáca·,phrase
my-house,my house,kʰe ʔáhca,phrase
my-is-that-money,that's my money,kʰe ʔé· mu pe·su,statement
my-knife-is-q-that,is that my knife?,kʰe qáhca ʔe hni mu ˇ,question
my-name-is,my name is [_],to· šíhcimacʼe· _,introduction
my-name-is-inez,my name is Inez (responding to a question),to· šíhcimaʔ ʔem ṭa Inez,introduction
my-wood-bring-bunch-imp,bring my (bundle of) wood!,kʰe ʔahá· bide·du,command
my-you-fish-butcher-cond-q,could you clean my fish?,kʰe ma ʔahša šaméʔbe ˇ,question
name-is-my,[_] is my name,_ šíhcimacʼe· to,introduction
neck-strangle,strangle someone's neck,mihya dóʔqʼotamʔ,phrase
no-coffee-want-neg-resp-me,"no, I don't want coffee",da· ˇ kafe· da·tʰém to ˇ,statement
noisy-you-pl-giggle-sim,you're (plural) being noisy when you giggle,baʔtʼilé· maya - siʔkʼisíʔkʼiman,statement
oh-cook-it-please,"come now, cook it, please!",cʰi dutʼatá·du qayʔ,command
oh-two-carry-bunch-refl-circ-imp,"oh look, he seems to be carrying two (children) in his arms!",ʔo· cʰíʔ qʰo· bíʔdiyicʼqa ʔ,statement
oh-two-carry-person-refl-circ-imp,"oh look, he seems to be carrying two (children) on his back!",ʔo· cʰíʔ qʰo· pʰiyícʼqa ʔ,statement
orange-drink-you-want-fact,do you want orange drink?,nará·ha qʼo· mito da·we· ˇ,question
